START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
66.042,63.40
66.159,63.50
66.275,63.60
66.391,63.70
66.507,63.80
66.624,63.90
66.740,64.00
66.857,64.10
66.976,64.20
67.096,64.30
67.215,64.40
67.335,64.50
67.454,64.60
67.573,64.70
67.693,64.80
67.814,64.90
67.933,65.00
68.053,65.10
68.173,65.20
68.292,65.30
68.410,65.40
68.528,65.50
68.643,65.60
68.759,65.70
68.875,65.80
68.992,65.90
69.108,66.00
69.224,66.10
69.341,66.20
69.458,66.30
69.575,66.40
69.691,66.50
69.807,66.60
69.923,66.70
70.038,66.80
70.154,66.90
70.270,67.00
70.387,67.10
70.505,67.20
70.623,67.30
70.741,67.40
70.860,67.50
70.977,67.60
71.095,67.70
71.214,67.80
71.332,67.90
71.451,68.00
71.569,68.10
71.689,68.20
71.809,68.30
71.928,68.40
72.045,68.50
72.162,68.60
72.278,68.70
72.395,68.80
72.513,68.90
72.630,69.00
72.748,69.10
72.866,69.20
72.985,69.30
73.102,69.40
73.219,69.50
73.334,69.60
73.450,69.70
73.566,69.80
73.683,69.90
73.800,70.00
73.917,70.10
74.036,70.20
74.153,70.30
74.270,70.40
74.387,70.50
74.502,70.60
74.618,70.70
74.735,70.80
74.852,70.90
74.970,71.00
75.089,71.10
75.210,71.20
75.331,71.30
75.453,71.40
75.575,71.50
75.697,71.60
75.818,71.70
75.941,71.80
76.063,71.90
76.186,72.00
76.310,72.10
76.435,72.20
76.561,72.30
76.686,72.40
76.809,72.50
76.931,72.60
77.053,72.70
77.175,72.80
77.298,72.90
77.421,73.00
77.544,73.10
77.668,73.20
77.792,73.30
77.915,73.40
78.037,73.50
78.159,73.60
78.280,73.70
78.402,73.80
78.524,73.90
78.647,74.00
78.769,74.10
78.892,74.20
79.015,74.30
79.136,74.40
79.256,74.50
79.374,74.60
79.493,74.70
79.612,74.80
79.731,74.90
79.850,75.00
79.970,75.10
80.091,75.20
80.212,75.30
80.331,75.40
80.450,75.50
80.568,75.60
80.685,75.70
80.803,75.80
80.921,75.90
81.040,76.00
81.159,76.10
81.280,76.20
81.401,76.30
81.523,76.40
81.645,76.50
81.766,76.60
81.887,76.70
82.010,76.80
82.132,76.90
82.254,77.00
82.378,77.10
82.503,77.20
82.628,77.30
82.753,77.40
82.879,77.50
83.003,77.60
83.126,77.70
83.250,77.80
83.375,77.90
83.499,78.00
83.624,78.10
83.750,78.20
83.877,78.30
84.003,78.40
84.130,78.50
84.256,78.60
84.381,78.70
84.506,78.80
84.632,78.90
84.757,79.00
84.883,79.10
85.011,79.20
85.138,79.30
85.265,79.40
85.392,79.50
85.518,79.60
85.644,79.70
85.770,79.80
85.896,79.90
86.022,80.00
86.149,80.10
86.278,80.20
86.407,80.30
86.536,80.40
86.665,80.50
86.793,80.60
86.921,80.70
87.050,80.80
87.179,80.90
87.309,81.00
87.439,81.10
87.571,81.20
87.703,81.30
87.835,81.40
87.967,81.50
88.099,81.60
88.231,81.70
88.362,81.80
88.492,81.90
88.623,82.00
88.754,82.10
88.886,82.20
89.016,82.30
89.145,82.40
89.272,82.50
89.398,82.60
89.523,82.70
89.648,82.80
89.774,82.90
89.899,83.00
90.025,83.10
90.152,83.20
90.278,83.30
90.402,83.40
90.526,83.50
90.648,83.60
90.770,83.70
90.892,83.80
91.014,83.90
91.136,84.00
91.258,84.10
91.382,84.20
91.507,84.30
91.632,84.40
91.756,84.50
91.880,84.60
92.004,84.70
92.129,84.80
92.254,84.90
92.379,85.00
92.505,85.10
92.632,85.20
92.760,85.30
92.887,85.40
93.016,85.50
93.143,85.60
93.270,85.70
93.396,85.80
93.522,85.90
93.648,86.00
93.774,86.10
93.901,86.20
94.028,86.30
94.155,86.40
94.281,86.50
94.407,86.60
94.532,86.70
94.657,86.80
94.783,86.90
94.909,87.00
95.035,87.10
95.161,87.20
95.287,87.30
95.411,87.40
95.534,87.50
95.656,87.60
95.778,87.70
95.900,87.80
96.023,87.90
96.146,88.00
96.269,88.10
96.393,88.20
96.517,88.30
96.640,88.40
96.761,88.50
96.882,88.60
97.003,88.70
97.125,88.80
97.247,88.90
97.369,89.00
97.492,89.10
97.616,89.20
97.740,89.30
97.863,89.40
97.986,89.50
98.107,89.60
98.228,89.70
98.350,89.80
98.472,89.90
98.594,90.00
98.716,90.10
98.840,90.20
98.962,90.30
99.083,90.40
99.203,90.50
99.322,90.60
99.442,90.70
99.561,90.80
99.681,90.90
99.802,91.00
99.922,91.10
100.044,91.20
100.165,91.30
100.285,91.40
100.405,91.50
100.523,91.60
100.641,91.70
100.760,91.80
100.879,91.90
100.999,92.00
101.118,92.10
101.239,92.20
101.359,92.30
101.478,92.40
101.597,92.50
101.714,92.60
101.831,92.70
101.949,92.80
102.066,92.90
102.183,93.00
102.301,93.10
102.420,93.20
102.540,93.30
102.660,93.40
102.780,93.50
102.898,93.60
103.016,93.70
103.135,93.80
103.255,93.90
103.374,94.00
103.494,94.10
103.614,94.20
103.735,94.30
103.854,94.40
103.973,94.50
104.090,94.60
104.208,94.70
104.326,94.80
104.445,94.90
104.564,95.00
104.684,95.10
104.806,95.20
104.928,95.30
105.050,95.40
105.172,95.50
105.294,95.60
105.415,95.70
105.537,95.80
105.660,95.90
105.783,96.00
105.906,96.10
106.031,96.20
106.155,96.30
106.278,96.40
106.400,96.50
106.521,96.60
106.642,96.70
106.763,96.80
106.885,96.90
107.006,97.00
107.129,97.10
107.252,97.20
107.376,97.30
107.498,97.40
107.620,97.50
107.740,97.60
107.861,97.70
107.982,97.80
108.104,97.90
108.226,98.00
108.348,98.10
108.472,98.20
108.596,98.30
108.721,98.40
108.845,98.50
108.969,98.60
109.092,98.70
109.217,98.80
109.341,98.90
109.466,99.00
109.592,99.10
109.719,99.20
109.847,99.30
109.974,99.40
110.102,99.50
110.228,99.60
110.355,99.70
110.482,99.80
110.609,99.90
110.737,100.00
110.864,100.10
110.992,100.20
111.120,100.30
111.247,100.40
111.373,100.50
111.498,100.60
111.622,100.70
111.748,100.80
111.874,100.90
112.000,101.00
112.126,101.10
112.254,101.20
112.382,101.30
112.507,101.40
112.632,101.50
112.755,101.60
112.878,101.70
113.002,101.80
113.127,101.90
113.251,102.00
113.376,102.10
113.502,102.20
113.629,102.30
113.755,102.40
113.881,102.50
114.006,102.60
114.130,102.70
114.256,102.80
114.381,102.90
114.507,103.00
114.632,103.10
114.759,103.20
114.885,103.30
115.010,103.40
115.133,103.50
115.255,103.60
115.378,103.70
115.500,103.80
115.624,103.90
115.747,104.00
115.871,104.10
115.997,104.20
116.122,104.30
116.247,104.40
116.370,104.50
116.493,104.60
116.616,104.70
116.739,104.80
116.862,104.90
116.985,105.00
117.109,105.10
117.234,105.20
117.359,105.30
117.482,105.40
117.605,105.50
117.727,105.60
117.848,105.70
117.970,105.80
118.093,105.90
118.215,106.00
118.338,106.10
118.462,106.20
118.586,106.30
118.708,106.40
118.830,106.50
118.951,106.60
119.072,106.70
119.192,106.80
119.314,106.90
119.436,107.00
119.558,107.10
119.682,107.20
119.805,107.30
119.929,107.40
120.053,107.50
120.176,107.60
120.299,107.70
120.423,107.80
120.548,107.90
120.672,108.00
120.797,108.10
120.923,108.20
121.048,108.30
121.173,108.40
121.297,108.50
121.420,108.60
121.542,108.70
121.665,108.80
121.789,108.90
121.912,109.00
122.036,109.10
122.160,109.20
122.285,109.30
122.408,109.40
122.531,109.50
122.653,109.60
122.774,109.70
122.896,109.80
123.018,109.90
123.140,110.00
123.263,110.10
123.386,110.20
123.510,110.30
123.631,110.40
123.752,110.50
123.871,110.60
123.990,110.70
124.109,110.80
124.228,110.90
124.348,111.00
124.468,111.10
124.588,111.20
124.709,111.30
124.828,111.40
124.946,111.50
125.063,111.60
125.180,111.70
125.298,111.80
125.416,111.90
125.534,112.00
125.653,112.10
125.772,112.20
125.891,112.30
126.009,112.40
126.126,112.50
126.242,112.60
126.358,112.70
126.475,112.80
126.593,112.90
126.710,113.00
126.827,113.10
126.945,113.20
127.064,113.30
127.181,113.40
127.297,113.50
127.412,113.60
127.527,113.70
127.644,113.80
127.760,113.90
127.877,114.00
127.994,114.10
128.113,114.20
128.231,114.30
128.348,114.40
128.464,114.50
128.580,114.60
128.696,114.70
128.812,114.80
128.928,114.90
129.045,115.00
129.162,115.10
129.281,115.20
129.401,115.30
129.520,115.40
129.639,115.50
129.758,115.60
129.877,115.70
129.996,115.80
130.116,115.90
130.236,116.00
130.356,116.10
130.478,116.20
130.600,116.30
130.721,116.40
130.843,116.50
130.963,116.60
131.084,116.70
131.205,116.80
131.327,116.90
131.449,117.00
131.572,117.10
131.696,117.20
131.820,117.30
131.945,117.40
132.069,117.50
132.192,117.60
132.315,117.70
132.439,117.80
132.563,117.90
132.686,118.00
132.811,118.10
132.938,118.20
133.065,118.30
133.192,118.40
133.319,118.50
133.446,118.60
133.572,118.70
133.699,118.80
133.827,118.90
133.955,119.00
134.082,119.10
134.211,119.20
134.340,119.30
134.467,119.40
134.594,119.50
134.719,119.60
134.844,119.70
134.970,119.80
135.096,119.90
135.222,120.00
135.349,120.10
135.478,120.20
135.608,120.30
135.737,120.40
135.867,120.50
135.995,120.60
136.123,120.70
136.252,120.80
136.381,120.90
136.510,121.00
136.640,121.10
136.770,121.20
136.901,121.30
137.030,121.40
137.157,121.50
137.284,121.60
137.409,121.70
137.536,121.80
