START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
150.527,97.30
150.684,97.40
150.844,97.50
151.007,97.60
151.170,97.70
151.333,97.80
151.494,97.90
151.654,98.00
151.814,98.10
151.973,98.20
152.133,98.30
152.297,98.40
152.463,98.50
152.631,98.60
152.799,98.70
152.966,98.80
153.131,98.90
153.293,99.00
153.454,99.10
153.615,99.20
153.778,99.30
153.944,99.40
154.111,99.50
154.280,99.60
154.449,99.70
154.617,99.80
154.785,99.90
154.952,100.00
155.119,100.10
155.285,100.20
155.453,100.30
155.625,100.40
155.800,100.50
155.979,100.60
156.159,100.70
156.336,100.80
156.512,100.90
156.683,101.00
156.854,101.10
157.024,101.20
157.195,101.30
157.371,101.40
157.547,101.50
157.725,101.60
157.902,101.70
158.078,101.80
158.252,101.90
158.424,102.00
158.596,102.10
158.766,102.20
158.937,102.30
159.113,102.40
159.291,102.50
159.471,102.60
159.651,102.70
159.829,102.80
160.004,102.90
160.174,103.00
160.342,103.10
160.510,103.20
160.677,103.30
160.846,103.40
161.013,103.50
161.178,103.60
161.340,103.70
161.498,103.80
161.654,103.90
161.806,104.00
161.956,104.10
162.105,104.20
162.256,104.30
162.410,104.40
162.566,104.50
162.722,104.60
162.879,104.70
163.036,104.80
163.192,104.90
163.346,105.00
163.501,105.10
163.655,105.20
163.811,105.30
163.969,105.40
164.130,105.50
164.292,105.60
164.454,105.70
164.614,105.80
164.774,105.90
164.933,106.00
165.090,106.10
165.247,106.20
165.406,106.30
165.570,106.40
165.736,106.50
165.905,106.60
166.075,106.70
166.245,106.80
166.415,106.90
166.581,107.00
166.747,107.10
166.914,107.20
167.083,107.30
167.256,107.40
167.430,107.50
167.606,107.60
167.783,107.70
167.957,107.80
168.132,107.90
168.304,108.00
168.476,108.10
168.646,108.20
168.818,108.30
168.994,108.40
169.171,108.50
169.347,108.60
169.522,108.70
169.693,108.80
169.863,108.90
170.028,109.00
170.190,109.10
170.348,109.20
170.505,109.30
170.665,109.40
170.823,109.50
170.982,109.60
171.141,109.70
171.297,109.80
171.453,109.90
171.606,110.00
171.758,110.10
171.910,110.20
172.063,110.30
172.220,110.40
172.377,110.50
172.536,110.60
172.695,110.70
172.852,110.80
173.009,110.90
173.165,111.00
173.322,111.10
173.479,111.20
173.639,111.30
173.804,111.40
173.972,111.50
174.142,111.60
174.313,111.70
174.485,111.80
174.656,111.90
174.825,112.00
174.993,112.10
175.161,112.20
175.330,112.30
175.503,112.40
175.677,112.50
175.851,112.60
176.025,112.70
176.198,112.80
176.371,112.90
176.543,113.00
176.716,113.10
176.889,113.20
177.065,113.30
177.247,113.40
177.432,113.50
177.621,113.60
177.810,113.70
177.998,113.80
178.183,113.90
178.364,114.00
178.544,114.10
178.723,114.20
178.904,114.30
179.089,114.40
179.275,114.50
179.464,114.60
179.653,114.70
179.839,114.80
180.023,114.90
180.205,115.00
180.385,115.10
180.565,115.20
180.746,115.30
180.935,115.40
181.128,115.50
181.324,115.60
181.524,115.70
181.724,115.80
181.924,115.90
182.121,116.00
182.314,116.10
182.505,116.20
182.697,116.30
182.894,116.40
183.094,116.50
183.296,116.60
183.499,116.70
183.700,116.80
183.898,116.90
184.091,117.00
184.279,117.10
184.463,117.20
184.647,117.30
184.834,117.40
185.021,117.50
185.208,117.60
185.394,117.70
185.578,117.80
185.758,117.90
185.937,118.00
186.113,118.10
186.288,118.20
186.465,118.30
186.646,118.40
186.827,118.50
187.008,118.60
187.188,118.70
187.365,118.80
187.539,118.90
187.709,119.00
187.877,119.10
188.040,119.20
188.202,119.30
188.364,119.40
188.525,119.50
188.684,119.60
188.839,119.70
188.990,119.80
189.139,119.90
189.285,120.00
189.430,120.10
189.573,120.20
189.716,120.30
189.861,120.40
190.005,120.50
190.150,120.60
190.294,120.70
190.435,120.80
190.575,120.90
190.712,121.00
190.849,121.10
190.985,121.20
191.122,121.30
191.261,121.40
191.400,121.50
191.539,121.60
191.678,121.70
191.815,121.80
191.951,121.90
192.085,122.00
192.220,122.10
